@RELATION spam
@ATTRIBUTE numwords REAL
@ATTRIBUTE SPAM {True, False}
@DATA
1003, True
638, True
74, True
88, True
531, True
69, True
390, True
107, True
13894, True
466, True
140, True
115, True
57, True
88, True
564, True
69, True
916, True
388, True
107, True
403, True
157, True
92, True
377, True
414, True
15, True
111, True
56, True
403, True
84, True
1686, True
147, True
954, True
768, True
73, True
314, True
185, True
185, True
599, True
599, True
2391, True
2391, True
171, True
171, True
117, True
25, True
125, True
114, True
432, True
107, True
144, True
89, True
89, True
916, True
190, True
27, True
93, True
140, True
107, True
284, True
143, True
239, True
211, True
581, True
157, True
142, True
112, True
30, True
172, True
75, True
91, True
30, True
154, True
116, True
199, True
581, True
99, True
583, True
137, True
231, True
28, True
86, True
12, True
76, True
76, True
374, True
12, True
75, True
174, True
111, True
228, True
917, True
467, True
2553, True
208, True
15, True
481, True
89, True
167, True
58, True
16, True
144, True
144, True
16, True
183, True
99, True
90, True
97, True
370, True
304, True
69, True
238, True
140, True
309, True
434, True
33, True
161, True
1625, True
50, True
193, True
642, True
86, True
477, True
16, True
41, True
133, True
199, True
179, True
81, True
593, True
74, True
144, True
83, True
1686, True
671, True
97, True
15, True
81, True
358, True
69, True
121, True
138, True
419, True
16, True
1, True
250, True
308, True
43, True
104, True
133, True
372, True
150, True
107, True
38, True
371, True
1688, True
284, True
199, True
962, True
194, True
12, True
79, True
92, True
142, True
537, True
633, True
424, True
12, True
906, True
211, True
95, True
1027, True
153, True
107, True
253, True
673, True
618, True
89, True
442, True
190, True
157, True
635, True
152, True
442, True
402, True
167, True
85, True
1005, True
238, True
609, True
66, True
115, True
2954, True
1011, True
309, True
42, True
200, True
20, True
302, True
618, True
70, True
155, True
239, True
384, True
13, True
2364, True
1013, True
3445, True
13, True
1001, True
1140, True
588, True
95, True
169, True
95, True
101, True
14, True
15, True
494, True
203, True
159, True
2419, True
43, True
220, True
125, True
368, True
355, True
740, True
457, True
503, True
463, True
54, True
1624, True
148, True
403, True
125, True
160, True
427, True
432, True
249, True
72, True
72, True
223, True
219, True
620, True
430, True
287, True
417, True
2551, True
193, True
19, True
142, True
15, True
142, True
377, True
43, True
11441, True
262, True
698, True
193, True
84, True
1600, True
1006, True
11, True
365, True
1601, True
1602, True
108, True
1591, True
1591, True
639, True
75, True
206, True
206, True
14, True
155, True
185, True
842, True
482, True
481, True
166, True
465, True
504, True
70, True
597, True
303, True
16, True
61, True
293, True
324, True
320, True
155, True
153, True
2682, True
391, True
508, True
1013, True
1926, True
319, True
9, True
106, True
1410, True
200, True
178, True
11, True
142, True
331, True
85, True
85, True
260, True
20, True
221, True
163, True
390, True
16, True
106, True
161, True
915, True
11, True
163, True
177, True
912, True
11, True
701, True
13, True
18, True
368, True
1219, True
733, True
651, True
2988, True
14, True
184, True
184, True
1761, True
14, True
14, True
1, True
1, True
1, True
651, True
10, True
56, True
621, True
579, True
579, True
579, True
579, True
2, True
297, True
11, True
17, True
13, True
340, True
233, True
524, True
258, True
176, True
673, True
226, True
40, True
103, True
79, True
74, True
356, True
28, True
642, True
220, True
629, True
304, True
155, True
479, True
40, True
477, True
363, True
2470, True
376, True
258, True
175, True
